var_id,var_category,var_title,var_definition,var_type,var_units,var_source,var_changes,var_notes
EA011,"Marriage, Kinship",Transfer of residence at marriage: prevailing pattern,"The prevailing pattern of transfer of residence at marriage (note: not in original EA, summarized from variable describing marital residence with kin).",Categorical,NA,Gray (1999),"Revised codes for avunculocal cases, as these should be ""Wife to husband's group""; changed wording of this code (code ""1"") to emphasize that this group could be husband's group (patrilocal, virilocal) or husband's mother's brother's household (avunculocal).","Note that in cases where men marry a MoBrDa, 'avunculocal' residence would mean the husband was moving to the wife's household."
EA012,"Marriage, Kinship",Marital residence with kin: prevailing pattern,The prevailing profile of marital residence in the society.,Categorical,NA,Murdock (1962-1971); Gray (1999),"Two codes added for ""Uv"" and ""Vu"" based on Murdock's note under the Ambilocal code. Specifically: ""The symbols Uv or Vu are used to denote, respectively, a marked preponderance of uxorilocal or virilocal practice [in ambilocal residence]"". He further specifies that these are cases of ambilocal residence where the actual frequency of uxorilocal vs. virilocal residence exceeds the other by a ratio greater than two to one. Given this specific definition, we decided these two cases should be ""stand alone"" codes under v12, rather than cases where a prevailing pattern (v12) is accompanied by an alternative pattern (v14).",NA
EA013,"Marriage, Kinship",Transfer of residence at marriage: alternate,"Culturally patterned alternatives to, or numerically significant deviations from, the prevailing pattern of transfer of residence at marriage (note: not in original EA, summarized from variable describing marital residence with kin).",Categorical,NA,Gray (1999),"Revised codes for avunculocal cases here and for variable EA011, as these should be ""Wife to husband's group""; changed wording of this code (code ""1"") to emphasize that this group could be husband's group (patrilocal, virilocal) or husband's mother's brother's household (avunculocal). Because codes for this variable are dependent on EA011, adjusted all codes for this variable after adjusting EA011 and this variable for avunculocal cases.","Note that in cases where men marry a MoBrDa, 'avunculocal' residence would mean the husband was moving to the wife's household."
EA014,"Marriage, Kinship",Marital residence with kin: alternate,"Culturally patterned alternatives to, or numerically significant deviations from, the prevailing profile of marital residence.",Categorical,NA,Murdock (1962-1971); Gray (1999),"No change, despite change to v12, for wich ""Uv"" and ""Vu"" now coded as specific cases. In other words, "".v"" following U and "".u"" following V are still coded as 'alternative states' to v12.",NA
EA015,"Marriage, Kinship, Community organization",Community marriage organization,"The prevalence of local endogamy, agamy, and exogamy, together with the presence or absence of localized kin groups. The specific structure of clans, whether ambilocal, matrilocal, or patrilocal, is revealed by the variable describing prevailing patterns of residence with kin.",Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA016,"Marriage, Kinship, Community organization",Organization of clan communities,"Indicates whether or not societies organized as clan-communities (i.e., where communities represent a single, localized, exogamous kin group or clan) are also segmented into clan barrios.",Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA017,Kinship,Largest patrilineal kin group,The largest type of patrilineal kin group reported for the society.,Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA018,Kinship,Largest patrilineal exogamous group,The largest patrilineal kin group characterized by exogamy.,Categorical,NA,Murdock (1962-1971); Gray (1999),"Recoded to be a ""stand alone"" variable. Any societies coded as ""9"" (""No different from variable 17"") in Gray (1999) are now represented by their codes in v17. Also, ""O,"" ""Lo,"" ""Po,"" and ""So"" are here coded as ""1"" (""No patrilineal exogamy""). In Gray (1999), O, Lo, So, Po were coded as ""9"" (""No different from variable 17"").",NA
EA019,Kinship,Largest matrilineal kin group,The largest type of matrilineal kin group reported for the society.,Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA020,Kinship,Largest matrilineal exogamous group,The largest matrilineal kin group characterized by exogamy.,Categorical,NA,Murdock (1962-1971); Gray (1999),"Recoded to be a ""stand alone"" variable. Any societies coded as ""9"" (""No different from variable 19"") in Gray (1999) are now represented by their codes in v19. Also, ""O,"" ""Lo,"" ""Po,"" and ""So"" are here coded as ""1"" (""No matrilineal exogamy""). In Gray (1999), O, Lo, So, Po were coded as ""9"" (""No different from variable 17"").",NA
EA021,Kinship,Cognatic kin groups,"The presence or probable absence, and the typology, of cognatic kin groups.",Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA022,Kinship,Secondary cognatic kin group: kindreds and ramages,"The presence or probable absence, and the typology, of secondary cognatic kin groups. This variable highlights societies for which both kindreds (bilateral descent) and ramages (ambilineal descent) are reported.",Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA023,"Marriage, Kinship",Cousin marriages permitted,"The rules or practices governing the marriageability or nonmarriageability of a man's first cousins and, in some cases, second cousins.",Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA024,"Marriage, Kinship",Cousin marriages permitted: subtypes,Number of types of cousins (first and/or second cousins) a man is permitted to marry.,Categorical,NA,Murdock (1962-1971); Gray (1999),"Used code that was corrected by Gray after publication of Gray (1999). Specifically, Murdock codes ""C-G"" = Gray code ""3"" and only Murdock codes ""M"" and ""P"" = Gray code ""4""",NA
EA025,"Marriage, Kinship",Cousin marriages preferred,Preferred rather than just permitted marriages to particular first (and/or second) cousins.,Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA026,"Marriage, Kinship",Cousin marriages preferred: subtypes,Specific type(s) of cousin preferred as spouses.,Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA027,Kinship,Kin terms for cousins,Extent to which names for cousins distinguish cousin subtypes and/or among other groups of kin.,Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA028,"Subsistence, Economy",Agriculture: intensity,Intensity of cultivation.,Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA029,"Subsistence, Ecology",Agriculture: major crop type,Principal type of crop cultivated.,Categorical,NA,Murdock (1962-1971); Gray (1999),"Societies coded as ""C"" but without a lower-case letter following are here coded as ""0"" (i.e., as having Missing data for ""Principal crop"").",NA
EA030,"Community organization, Housing, Settlement",Settlement patterns,The prevailing type of settlement pattern.,Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA031,"Community organization, Population, Settlement",Mean size of local communities,"The average population of local communities, whatever the pattern of settlement, computed from census data or other evidence.",Ordinal,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA032,Community organization,Jurisdictional hierarchy of local community,"The number of jurisdictional levels in the local community, with 2 representing the theoretical minimum (e.g., independent nuclear or polygynous families) and 4 representing the theoretical maximum (e.g., nuclear families nested within extended families and clan-barrios). See the variable ""Jurisdictional hierarchy beyond the local community"" for information on organization beyond the local community. Note that different types of organization on the same level, e.g., a consanguineal lineage and its localized equivalent, are counted as one, and organizations not held to be legitimate, e.g., imposed colonial regimes, are excluded.",Ordinal,NA,Gray (1999),NA,NA
EA033,"Community organization, Politics",Jurisdictional hierarchy beyond local community,"The number of jurisdictional levels beyond the local community, with 1 representing the theoretical minimum (e.g.,  none/autonomous bands or villages) and 4 representing the theoretical maximum (e.g., villages nested within parishes, districts, provinces, and a complex state). This variable also provides a measure of political complexity, ranging from 1 for stateless societies, through 2 or 3 for petty and larger paramount chiefdoms or their equivalent, to 4 or 5 for large states. Note that different types of organization on the same level are counted as one, and organizations not held to be legitimate, e.g., imposed colonial regimes, are excluded.",Ordinal,NA,Gray (1999),NA,NA
EA034,Ritual,Religion: high gods,"The range of beliefs in high gods. A high god is defined, following Swanson, as a spiritual being who is believed to have created all reality and/or to be its ultimate governor, even if his sole act was to create other spirits who, in turn, created or control the natural world.",Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA035,Games,Games,"Types of games practiced. Following Roberts, only games with an outcome, i.e., a winner and a loser, are treated.",Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA036,"Ritual, Gender, Marriage",Post-partum sex taboos,"The normal duration of post-partum sex taboos, i.e., those requiring a lactating mother to refrain from sexual intercourse.",Ordinal,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA037,"Ritual, Gender",Male genital mutilations,"The practice of circumcision or any of its variants, when culturally normative and not sporadic or merely optional, as well as the age at which it typically occurs.",Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA038,"Ritual, Gender, Marriage",Segregation of adolescent boys,Degree and mode of segregating boys at or approaching puberty.,Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA039,"Subsistence, Economy",Domestic animals: plow cultivation,"Indicates whether or not animals are employed in plow cultivation, and whether plow cultivation is aboriginal or dates to the post-contact period.",Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA040,"Subsistence, Ecology",Domestic animals: type,The predominant type of animals kept.,Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA041,"Subsistence, Economy",Domestic animals: milking,Indicates whether or not domestic animals milked.,Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA042,"Subsistence, Economy",Subsistence economy: dominant activity,Dominant mode of subsistence (note: not in original EA; derived from other variables on subsistence and type of agriculture).,Categorical,NA,Gray (1999),NA,NA
EA043,Kinship,Descent: major type,"Major mode of descent (note: not in original EA; derived from variables describing patrilineal and matrilineal kin groups EA017, EA019 and EA021).",Categorical,NA,Gray (1999),NA,NA
EA044,"Labour, Gender, Economy",Sex differences: metal working,"Specialization by sex in such arts as smelting, casting, and forging, i.e., only those which involve the application of fire.",Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA045,"Labour, Gender, Economy",Sex differences: weaving,"Specialization by sex in the manufacture of true cloth on a loom or frame; not including the manufacture of nets, baskets, mats, or nonwoven fabrics like barkcloth or felt.",Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA046,"Labour, Gender, Economy",Sex differences: leather working,"Specialization by sex in the dressing of skins, e.g., by tanning; not including the manufacture of artifacts from raw hides or undressed skins.",Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA047,"Labour, Gender, Economy",Sex differences: pottery making,Specialization by sex in the manufacture of earthenware utensils.,Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA048,"Labour, Gender, Economy",Sex differences: boat building,"Specialization by sex in the construction of true water craft; not including the making of simple floats, rafts, or the like.",Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA049,"Labour, Gender, Economy",Sex differences: house construction,Specialization by sex in the actual building of a permanent dwelling or the erection of a transportable shelter; not including the acquisition or preliminary preparation of the materials used.,Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA050,"Labour, Gender, Economy",Sex differences: gathering,Specialization by sex in the gathering of wild plants and small land fauna.,Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA051,"Labour, Gender, Economy",Sex differences: hunting,"Specialization by sex in hunting, including trapping and fowling.",Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA052,"Labour, Gender, Economy",Sex Differences: fishing,"Specialization by sex in fishing, including shellfishing and the pursuit of large aquatic animals.",Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA053,"Labour, Gender, Economy",Sex differences: animal husbandry,Specialization by sex in animal husbandry.,Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA054,"Labour, Gender, Economy",Sex differences: agriculture,Specialization by sex in agriculture.,Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA055,"Labour, Economy",Age or occupational specialization: metal working,"Age or occupational specialization in such arts as smelting, casting, and forging, i.e., only those which involve the application of fire.",Categorical,NA,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,NA
EA056,"Labour, Economy",Age or occupational specialization: weaving,"Age or occupational specialization in the manufacture of true cloth on a loom or frame; not including the manufacture of nets, baskets, mats, or nonwoven fabrics like barkcloth or felt.",Categorical,NA,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,NA
EA057,"Labour, Economy",Age or occupational specialization: leather working,"Age or occupational specialization in the dressing of skins, e.g., by tanning; not including the manufacture of artifacts from raw hides or undressed skins.",Categorical,NA,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,NA
EA058,"Labour, Economy",Age or occupational specialization: pottery making,Age or occupational specialization in the manufacture of earthenware utensils.,Categorical,NA,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,NA
EA059,"Labour, Economy",Age or occupational specialization: boat building,"Age or occupational specialization in the construction of true water craft; not including the making of simple floats, rafts, or the like.",Categorical,NA,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,NA
EA060,"Labour, Economy",Age or occupational specialization: house construction,Age or occupational specialization in the actual building of a permanent dwelling or the erection of a transportable shelter; not including the acquisition or preliminary preparation of the materials used.,Categorical,NA,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,NA
EA061,"Labour, Economy",Age or occupational specialization: gathering,Age or occupational specialization in the gathering of wild plants and small land fauna.,Categorical,NA,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,NA
EA062,"Labour, Economy",Age or occupational specialization: hunting,"Age or occupational specialization in hunting, including trapping and fowling.",Categorical,NA,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,NA
EA063,"Labour, Economy",Age or occupational specialization: fishing,"Age or occupational specialization in fishing, including shellfishing and the pursuit of large aquatic animals.",Categorical,NA,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,NA
EA064,"Labour, Economy",Age or occupational specialization: animal husbandry,Age or occupational specialization in animal husbandry.,Categorical,NA,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,NA
EA065,"Labour, Economy",Age or occupational specialization: agriculture,Age or occupational specialization in agriculture.,Categorical,NA,Murdock (1962-1971); Gray (1999),Recoded to distinguish cases where activity is not practiced from cases where there is no specialization by sex.,NA
EA066,"Politics, Class, Economy",Class differentiation: primary,"The degree and type of class differentiation, excluding purely political and religious statuses. See also ""Class differentiation: secondary,"" as some societies exhibit important features of two different types of class differentation.",Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA067,"Politics, Class, Economy",Class differentiation: secondary features,"Secondary type of class differentiation present in the society, excluding purely political and religious statuses. See also ""Class differentiation: primary"".",Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA068,"Politics, Class, Economy",Caste differentiation: primary,"The degree and type of caste differentiation. See also ""Caste differentiation: secondary,"" as some societies exhibit important features of two different types of caste differentation.",Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA069,"Politics, Class, Economy",Caste differentiation: secondary features,"Secondary type of caste differentiation. See also ""Caste differentiation: primary"".",Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA070,"Politics, Class, Economy, Labour",Slavery: type,"The forms and prevalence of slave status, treated quite independently of both class and caste status.",Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA071,"Politics, Class, Economy, Labour",Slavery: timing,"Indicates whether slavery present at the time of observation of the society, or only in the past.",Categorical,NA,Murdock (1962-1971); Gray (1999),"Recoded to be a ""standalone"" variable; specifically, to distinguish ""Slavery never practiced"" (1) from ""Slavery present in past, but not currently in existence"" (3)",NA
EA072,"Politics, Leadership",Political succession,"Rules of succession applying to the office of local headman (or a close equivalent), without reference to rules of succession prevailing on higher levels of political integration.",Categorical,NA,Murdock (1962-1971); Gray (1999),Note: recoded from Murdock and split into two variables by Gray (1999),NA
EA073,"Politics, Leadership, Kinship",Political succession: hereditary succession,"Rules of succession applying to the office of local headman (or a close equivalent), without reference to rules of succession prevailing on higher levels of political integration.",Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA074,"Property, Wealth Transactions, Economy",Inheritance rule for real property (land),"The rule or practice governing the disposition or transmission of a man's property in land (exclusive of any dower right of his widow). [Note that Murdock (1963a) warned that the codes for this variable had ""proved inadequate and in serious need of revision,"" and that the coded data ""should consequently be used only with circumspection""].",Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA075,"Property, Wealth Transactions, Economy",Inheritance distribution for real property (land),"Following the inheritance rule for real property (land), this variable indicates how real property is distributed among several individuals of the same category. [Note that Murdock (1963a) warned that the codes for this variable had ""proved inadequate and in serious need of revision,"" and that the coded data ""should consequently be used only with circumspection""].",Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA076,"Property, Wealth Transactions, Economy",Inheritance rule for movable property,"The rule or practice governing the disposition or transmission of a man's movable property (exclusive of any dower right of his widow). [Note that Murdock (1963a) warned that the codes for this variable had ""proved inadequate and in serious need of revision,"" and that the coded data ""should consequently be used only with circumspection""].",Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA077,"Property, Wealth Transactions, Economy",Inheritance distribution for movable property,"Following the inheritance rule for movable property, this variable indicates how movable property is distributed among several individuals of the same category. [Note that Murdock (1963a) warned that the codes for this variable had ""proved inadequate and in serious need of revision,"" and that the coded data ""should consequently be used only with circumspection""].",Categorical,NA,Murdock (1962-1971); Gray (1999),"Recoded to distinguish cases where no inheritance of movable property (""9"") from cases where no data provided on distribution rules (Missing data).",NA
EA078,"Ritual, Gender, Marriage",Norms of premarital sexual behavior of girls,Prevailing standards of sex behavior for unmarried women.,Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA079,"Community organization, Housing",House construction: ground plan,Ground plan of the prevailing type of dwelling.,Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA080,"Community organization, Housing",House construction: floor level,Floor level of the prevailing type of dwelling.,Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA081,"Community organization, Housing, Ecology",House construction: wall material,Wall material of the prevailing type of dwelling.,Categorical,NA,Murdock (1962-1971); Gray (1999),"Recoded to distinguish ""missing data"" (0) from ""open walls"" (10) from ""walls indistinguishable from, or merging into roof"" (11)",NA
EA082,"Community organization, Housing",House construction: shape of roof,Shape of roof  of the prevailing type of dwelling.,Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA083,"Community organization, Housing, Ecology",House construction: roofing materials,Roofing materials of the prevailing type of dwelling.,Categorical,NA,Murdock (1962-1971); Gray (1999),"Recoded to distinguish ""Stone/slate"" (1) from ""Tile/brick"" (11)",NA
EA084,"Community organization, Housing",House construction (secondary house type): ground plan,Ground plan of secondary or alternative house type.,Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA085,"Community organization, Housing",House construction (secondary house type): floor level,Floor level of secondary or alternative house type.,Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA086,"Community organization, Housing, Ecology",House construction (secondary house type): wall material,Wall material of secondary or alternative house type.,Categorical,NA,Murdock (1962-1971); Gray (1999),"Recoded to distinguish ""missing data"" (0) from ""open walls"" (10) from ""walls indistinguishable from, or merging into roof"" (11)",NA
EA087,"Community organization, Housing",House construction (secondary house type): shape of roof,Shape of roof of secondary or alternative house type.,Categorical,NA,Murdock (1962-1971); Gray (1999),NA,NA
EA088,"Community organization, Housing, Ecology",House construction (secondary house type): roofing materials,Roofing materials of secondary or alternative house type.,Categorical,NA,Murdock (1962-1971); Gray (1999),"Recoded to distinguish ""Stone/slate"" (1) from ""Tile/brick"" (11)",NA
EA090,"Politics, Leadership, Economy",Political integration,Political integration of the society with neighbouring communities and/or a larger state; this is the version that appeared in Murdock (1957)'s World Ethnographic Sample (WES).,Categorical,NA,Murdock (1957); Gray (1999),NA,NA
EA094,"Politics, Leadership",Political succession: version from Murdock (1957),Rule of succession; for cross-cultural comparibility this is the prevailing rule of succession for the headman of a local community or a near equivalent thereto; this is the version that appeared in Murdock (1957)'s World Ethnographic Sample (WES).,Categorical,NA,Murdock (1957); Gray (1999),NA,NA
EA112,Ritual,Trance states,"Presence/absence of culturally patterned forms of altered states of consciousness. Codes distinguish between two types of altered states: PossessionTrance, considered to be a manifestation of spirit possession, and a Trance state that is not explained by possession.",Categorical,NA,Bourguignon (1973); Gray (1999),NA,NA
EA113,"Ritual, Politics",Societal rigidity,"Degree of rigidity in social structures. Considers stratification of society, whether status distinctions are earned or ascribed, degree of hierarchy of political system, extent to which residence and group membership are fixed, centralization of authority, flexibility of religious rites.",Categorical,NA,Greenbaum (1973); Gray (1999),NA,NA
EA202,Population,Population size,"Population of ethnic group as a whole, unless otherwise noted in ""Comments"". Note that source differs by society; EA bibliography is source where possible, otherwise Ember (1992).",Continuous,NA,Murdock (1962-1971); Ember (1992),NA,NA
